i,loss,ce,kl,logp,qed,sas,accuracy,prec
0,12.847265243530273,2.9851489067077637,0.0024379845708608627,1.966395616531372,0.7314094305038452,36.74822235107422,0.05624999850988388,0.0
512,12.978719711303711,1.8980004787445068,0.002535843290388584,1.773422122001648,0.7977839708328247,41.74913787841797,0.47578126192092896,0.0
1024,11.76315689086914,1.4687607288360596,0.0026970759499818087,2.1683480739593506,0.6571897268295288,38.34934997558594,0.553515613079071,0.0
1536,12.164084434509277,1.4455173015594482,0.003049919381737709,2.7935285568237305,0.5808733701705933,39.49681854248047,0.579296886920929,0.0
2048,10.589308738708496,1.380881905555725,0.0037714510690420866,2.582202672958374,0.6124762296676636,33.635257720947266,0.59375,0.0
2560,11.395891189575195,1.4312512874603271,0.004740309901535511,1.6651806831359863,0.5379600524902344,37.65068054199219,0.5933593511581421,0.0
3072,10.171138763427734,1.4095714092254639,0.2858976721763611,1.9180914163589478,0.5275261402130127,32.314754486083984,0.5925781726837158,0.0
3584,11.848786354064941,1.3973795175552368,0.13253538310527802,0.9972411394119263,0.4323517978191376,40.243499755859375,0.6078125238418579,0.0
4096,9.95569133758545,1.3255295753479004,0.1514802873134613,1.0753984451293945,0.5048061609268188,32.788963317871094,0.592578113079071,0.0
4608,10.811649322509766,1.4153733253479004,0.13288043439388275,0.8807923793792725,0.4466775059700012,36.124755859375,0.602734386920929,0.0
5120,9.81645393371582,1.3257644176483154,0.14518964290618896,0.7744789123535156,0.3622944951057434,32.6807975769043,0.6078125238418579,0.0
5632,9.472236633300781,1.3537511825561523,0.1359044909477234,0.6399509906768799,0.38532164692878723,31.31276512145996,0.596484363079071,0.0
6144,8.470776557922363,1.3639377355575562,0.14271536469459534,0.6642524003982544,0.3391193151473999,27.281267166137695,0.6039062738418579,0.0
6656,9.311115264892578,1.3570390939712524,0.12237782031297684,0.4807317852973938,0.3244028687477112,30.888792037963867,0.6070312857627869,0.0
7168,9.324544906616211,1.3791050910949707,0.08234476298093796,0.5937475562095642,0.2935654819011688,30.81209945678711,0.6042969226837158,0.0
7680,9.508318901062012,1.3051543235778809,0.10696953535079956,0.6264430284500122,0.2888520658016205,31.79039192199707,0.5882812738418579,0.0
8192,8.172409057617188,1.3481066226959229,0.15179194509983063,0.7733051776885986,0.227591410279274,26.144519805908203,0.5874999761581421,0.0
8704,9.652052879333496,1.367384672164917,0.1437435895204544,0.8651384115219116,0.20574645698070526,31.92404556274414,0.5953125357627869,0.0
9216,8.871797561645508,1.2942837476730347,0.13665637373924255,0.7625832557678223,0.1768283247947693,29.233985900878906,0.5785156488418579,0.0
9728,8.575128555297852,1.3704578876495361,0.15404894948005676,0.5224984884262085,0.1434040367603302,27.998729705810547,0.610546886920929,0.0
10240,8.413749694824219,1.3000496625900269,0.13114137947559357,0.7500754594802856,0.1501418650150299,27.42344093322754,0.5902343988418579,0.0
10752,8.603378295898438,1.2861536741256714,0.11362601816654205,0.7305853962898254,0.14571940898895264,28.278968811035156,0.5906250476837158,0.0
11264,7.526472091674805,1.359104871749878,0.16747623682022095,0.6236943602561951,0.08669605851173401,23.791603088378906,0.6023437976837158,0.0
11776,7.01054573059082,1.3673819303512573,0.16449055075645447,0.798723578453064,0.11473417282104492,21.494707107543945,0.611328125,0.0
12288,6.930845260620117,1.2460540533065796,0.11957024037837982,0.4843747615814209,0.07257026433944702,22.06264877319336,0.5992187261581421,0.0
12800,7.047522068023682,1.374928593635559,0.15701021254062653,0.8410418033599854,0.05809397250413895,21.634227752685547,0.6167968511581421,0.0
13312,6.862912178039551,1.2904855012893677,0.11052902787923813,0.6735813617706299,0.05583217740058899,21.449764251708984,0.5960937738418579,0.0
13824,6.5815277099609375,1.2969223260879517,0.12228165566921234,0.712647557258606,0.0848696231842041,20.2186222076416,0.6156250238418579,0.0
14336,6.1888604164123535,1.3468822240829468,0.15657246112823486,0.29979151487350464,0.06799465417861938,18.84355354309082,0.591796875,0.0
14848,5.37802791595459,1.3182491064071655,0.17573073506355286,0.48650044202804565,0.08898358047008514,15.48790168762207,0.6050781011581421,0.0
15360,5.026288032531738,1.26181960105896,0.15331843495368958,0.813518762588501,0.06244398653507233,14.028592109680176,0.6003906726837158,0.0
15872,5.7586588859558105,1.3441884517669678,0.16694974899291992,0.4541529715061188,0.03171440586447716,17.00506591796875,0.6046875715255737,0.0
16384,5.340726852416992,1.3416976928710938,0.15729200839996338,0.3335299491882324,0.06130782514810562,15.443986892700195,0.5863281488418579,0.0
16896,5.65010929107666,1.3798848390579224,0.1441488265991211,0.4417843222618103,0.03951860964298248,16.455446243286133,0.6101562976837158,0.0
17408,4.774181365966797,1.3581984043121338,0.1448102444410324,0.5463451147079468,0.038399502635002136,12.934377670288086,0.606640636920929,0.0
