i,time,loss,ce,kl,logp,qed,sas,accuracy,prec
0,1.5385606288909912,                        2.9617393016815186,2.9610085487365723,0.0013658951502293348,                        2.318789005279541,0.48502326011657715,33.159278869628906,                        0.06093750149011612,0.0
100,12.299829006195068,                        1.4853218793869019,1.4845349788665771,0.006704225670546293,                        1.886622667312622,0.25152844190597534,36.5772705078125,                        0.5863281488418579,0.0
200,22.980264902114868,                        1.361197829246521,1.3604605197906494,0.44989410042762756,                        2.5712990760803223,0.2524520456790924,32.34132385253906,                        0.6105469465255737,0.0
300,33.698708057403564,                        1.2754764556884766,1.2746739387512207,0.9027463793754578,                        2.394723653793335,0.2153615951538086,34.6281852722168,                        0.596875011920929,0.0
400,44.34645414352417,                        1.3476320505142212,1.3467209339141846,1.954261064529419,                        1.4794715642929077,0.14567899703979492,38.33232116699219,                        0.607421875,0.0
500,55.05272936820984,                        1.2157135009765625,1.2149544954299927,1.55828857421875,                        1.172461986541748,0.10605500638484955,32.18124771118164,                        0.6011718511581421,0.0
600,65.71548080444336,                        1.2251166105270386,1.2243068218231201,2.5439095497131348,                        1.2417986392974854,0.10172068327665329,32.155242919921875,                        0.611328125,0.0
700,76.44765949249268,                        1.332190752029419,1.331312894821167,3.920553684234619,                        1.5225383043289185,0.08646322786808014,31.798599243164062,                        0.6207031011581421,0.0
800,87.1444046497345,                        1.2059862613677979,1.2051918506622314,3.4760704040527344,                        1.5374031066894531,0.03294392302632332,28.838090896606445,                        0.6285156011581421,0.0
900,97.93405795097351,                        1.2863030433654785,1.2856194972991943,3.512997627258301,                        1.4404735565185547,0.035795167088508606,23.38355827331543,                        0.6339843273162842,0.0
1000,108.63026714324951,                        1.2429932355880737,1.2423112392425537,3.290754795074463,                        1.1059999465942383,0.03877846151590347,24.197275161743164,                        0.6277343034744263,0.0
1100,119.38263440132141,                        1.277186632156372,1.2765295505523682,3.3336033821105957,                        1.3567057847976685,0.023755481466650963,22.62821388244629,                        0.6074219346046448,0.0
1200,130.08674025535583,                        1.1651190519332886,1.1645938158035278,3.3440496921539307,                        1.245229721069336,0.019791098311543465,16.22437286376953,                        0.6195312142372131,0.0
1300,140.86532187461853,                        1.2968066930770874,1.2963497638702393,2.9953322410583496,                        1.5461441278457642,0.020311031490564346,13.434892654418945,                        0.626171886920929,0.0
1400,151.58398962020874,                        1.2975499629974365,1.2969919443130493,3.7854092121124268,                        1.3308463096618652,0.016350306570529938,16.65497589111328,                        0.632031261920929,0.0
1500,162.32219910621643,                        1.2395517826080322,1.2390447854995728,3.8144073486328125,                        1.2812769412994385,0.018214380368590355,14.118589401245117,                        0.6226562857627869,0.0
1600,173.0348174571991,                        1.1950350999832153,1.1946065425872803,3.3349289894104004,                        2.1271541118621826,0.0233008936047554,10.60293960571289,                        0.6343749761581421,0.0
1700,183.80069375038147,                        1.20307195186615,1.2026792764663696,3.6592624187469482,                        1.2084826231002808,0.02323378622531891,8.946062088012695,                        0.6402343511581421,0.0
1800,194.52567410469055,                        1.3117762804031372,1.3113209009170532,4.6025543212890625,                        1.7935246229171753,0.012821614742279053,9.098855018615723,                        0.626953125,0.0
1900,205.31414818763733,                        1.3650548458099365,1.3646671772003174,4.313292503356934,                        1.0821666717529297,0.010152945294976234,7.201852321624756,                        0.6378906965255737,0.0
2000,216.0359308719635,                        1.1366493701934814,1.1363704204559326,3.063950777053833,                        0.933587372303009,0.008962069638073444,5.129064559936523,                        0.649218738079071,0.0
2100,226.77717566490173,                        1.168258547782898,1.1679885387420654,2.959522247314453,                        1.3114655017852783,0.027053313329815865,4.554690361022949,                        0.6273437738418579,0.0
2200,237.49309849739075,                        1.1931215524673462,1.1928436756134033,3.2389135360717773,                        1.447636604309082,0.008158315904438496,4.12327766418457,                        0.6335937976837158,0.0
2300,248.26652240753174,                        1.2155537605285645,1.2152570486068726,3.6983554363250732,                        1.8970221281051636,0.008191057480871677,3.451185464859009,                        0.638671875,0.0
2400,259.0040793418884,                        1.2454595565795898,1.2451366186141968,4.307367324829102,                        2.182159662246704,0.006052177865058184,2.937488555908203,                        0.6273437738418579,0.0
2500,269.81573271751404,                        1.257524847984314,1.2572112083435059,4.628355026245117,                        1.4773261547088623,0.007019939832389355,2.3839008808135986,                        0.630859375,0.0
2600,280.5442612171173,                        1.2791272401809692,1.2788039445877075,4.435538291931152,                        1.9546765089035034,0.009124902077019215,2.858229875564575,                        0.641406238079071,0.0
2700,291.3263728618622,                        1.135514259338379,1.1352663040161133,3.3457531929016113,                        1.7255091667175293,0.006104402244091034,2.1052427291870117,                        0.630078136920929,0.0
2800,302.0879108905792,                        1.3208396434783936,1.3205405473709106,4.50695276260376,                        1.4692844152450562,0.00632278248667717,1.9776148796081543,                        0.5902343988418579,0.0
2900,312.88764905929565,                        1.202390193939209,1.20210862159729,3.809673309326172,                        1.6419934034347534,0.00496084475889802,2.686177968978882,                        0.620312511920929,0.0
3000,323.63301038742065,                        1.2311253547668457,1.2308320999145508,4.286294937133789,                        1.3778176307678223,0.007164325099438429,2.3378095626831055,                        0.6089843511581421,0.0
3100,334.42787432670593,                        1.258038878440857,1.2577240467071533,4.472894668579102,                        1.2602055072784424,0.00425786292180419,3.0488812923431396,                        0.6140624284744263,0.0
3200,345.1635398864746,                        1.2497637271881104,1.2494481801986694,4.775193214416504,                        1.3243199586868286,0.007098803296685219,2.258256196975708,                        0.6300781965255737,0.0
3300,355.93996691703796,                        1.2428175210952759,1.2425073385238647,4.648092269897461,                        1.6749610900878906,0.005551619455218315,1.9710285663604736,                        0.6292968392372131,0.0
3400,366.703453540802,                        1.2135517597198486,1.2132649421691895,4.278446197509766,                        1.3681883811950684,0.01242887508124113,2.042551279067993,                        0.620312511920929,0.0
3500,377.4682230949402,                        1.3122036457061768,1.3118951320648193,3.8156204223632812,                        1.885223627090454,0.005024950951337814,3.7559003829956055,                        0.62890625,0.0
3600,388.20923924446106,                        1.2545055150985718,1.25421142578125,4.528273105621338,                        1.2364290952682495,0.0031895216088742018,1.9169423580169678,                        0.6429687738418579,0.0
3700,399.0041389465332,                        1.2420300245285034,1.2416954040527344,5.001646041870117,                        1.686814785003662,0.005270382389426231,2.276075839996338,                        0.621874988079071,0.0
3800,409.7542128562927,                        1.1790847778320312,1.178783655166626,4.334134578704834,                        1.8519177436828613,0.007299002725630999,2.123385190963745,                        0.6382812857627869,0.0
3900,420.5791349411011,                        1.200577735900879,1.2002699375152588,4.429622650146484,                        1.3872265815734863,0.009745367802679539,2.678574323654175,                        0.6539062261581421,0.0
4000,431.3419053554535,                        1.2231777906417847,1.222836971282959,4.64186954498291,                        1.5896313190460205,0.0041594128124415874,3.57401180267334,                        0.6226562261581421,0.0
4100,442.1980793476105,                        1.2642430067062378,1.2639468908309937,4.80037260055542,                        1.5233482122421265,0.010672292672097683,1.0425173044204712,                        0.626953125,0.0
4200,452.9555344581604,                        1.2256804704666138,1.2253763675689697,4.608983993530273,                        1.1994459629058838,0.006995855830609798,2.2404847145080566,                        0.6515624523162842,0.0
4300,463.77893805503845,                        1.1962751150131226,1.1959497928619385,4.3587727546691895,                        2.056410789489746,0.005016571842133999,3.0569019317626953,                        0.6273437738418579,0.0
4400,474.56774520874023,                        1.2338745594024658,1.2335529327392578,5.035117149353027,                        1.5936920642852783,0.007252441253513098,1.645683765411377,                        0.6332031488418579,0.0
