i,loss,ce,kl,logp,qed,sas,accuracy,prec
0,2.9818575382232666,2.977154016494751,0.0023863865062594414,2.344564199447632,0.5486717224121094,37.84965896606445,0.05976562947034836,0.0
512,1.552405834197998,1.545637845993042,23.361953735351562,1.3375046253204346,0.5213260650634766,33.4072380065918,0.5960937738418579,0.0
1024,1.5283222198486328,1.5204218626022339,25.006961822509766,1.7980444431304932,0.4020126760005951,41.23037338256836,0.5972656011581421,0.0
1536,1.4330296516418457,1.4254090785980225,26.106700897216797,1.7222710847854614,0.39040452241897583,37.79412078857422,0.604687511920929,0.0
2048,1.4053195714950562,1.3974659442901611,27.909130096435547,1.6081115007400513,0.41503971815109253,38.09940719604492,0.5941406488418579,0.0
2560,1.3572413921356201,1.3495323657989502,28.832189559936523,2.423680543899536,0.28726184368133545,35.23560333251953,0.5992187261581421,0.0
3072,1.4465718269348145,1.4390777349472046,29.655933380126953,2.0465993881225586,0.2964083254337311,32.918704986572266,0.5855468511581421,0.0
3584,1.3471084833145142,1.3396015167236328,30.706466674804688,1.7534542083740234,0.2554234564304352,32.31367492675781,0.5917969346046448,0.0
4096,1.4101996421813965,1.4019196033477783,31.38418960571289,2.268954038619995,0.2091209888458252,37.86284255981445,0.5968750715255737,0.0
4608,1.4906188249588013,1.4826363325119019,31.667072296142578,1.8194340467453003,0.19548894464969635,35.466468811035156,0.5933593511581421,0.0
5120,1.4159170389175415,1.4079939126968384,32.01884460449219,2.482022285461426,0.17764785885810852,33.95527648925781,0.60546875,0.0
5632,1.4578816890716553,1.4495946168899536,31.651334762573242,1.7987682819366455,0.15318052470684052,38.182586669921875,0.587890625,0.0
6144,1.399792194366455,1.391990303993225,31.571651458740234,1.3064159154891968,0.16512459516525269,34.54136276245117,0.602343738079071,0.0
6656,1.4152295589447021,1.407636046409607,30.986474990844727,2.691380500793457,0.13286763429641724,31.96768569946289,0.5882812142372131,0.0
7168,1.3102003335952759,1.3032655715942383,29.335086822509766,1.9451379776000977,0.13856035470962524,28.65292739868164,0.614453136920929,0.0
7680,1.385989785194397,1.3790624141693115,24.358997344970703,1.985491156578064,0.11220404505729675,33.551124572753906,0.606249988079071,0.0
8192,1.323561429977417,1.3174140453338623,21.787899017333984,1.3657790422439575,0.09394557774066925,30.003740310668945,0.6218750476837158,0.0
8704,1.245278239250183,1.2394256591796875,21.702651977539062,1.5510575771331787,0.06971356272697449,27.37404441833496,0.6136718988418579,0.0
9216,1.2460633516311646,1.2404265403747559,20.961557388305664,1.7402933835983276,0.08130203187465668,26.045825958251953,0.610156238079071,0.0
9728,1.241447925567627,1.235752820968628,22.115814208984375,2.1058483123779297,0.0659131109714508,25.04619789123535,0.6179687976837158,0.0
10240,1.3514623641967773,1.34531569480896,25.18642807006836,2.245615243911743,0.06266693025827408,25.75082015991211,0.6246093511581421,0.0
10752,1.229520320892334,1.2234442234039307,24.476348876953125,2.098316192626953,0.05361132323741913,26.00497055053711,0.61328125,0.0
11264,1.2344403266906738,1.2295416593551636,23.179729461669922,1.3616129159927368,0.028787929564714432,17.864622116088867,0.6070312261581421,0.0
11776,1.2983821630477905,1.292649507522583,25.941383361816406,1.3060238361358643,0.0521923191845417,22.35991859436035,0.6175781488418579,0.0
12288,1.3157155513763428,1.3095133304595947,26.9732608795166,2.025780200958252,0.02435510978102684,24.70370101928711,0.6148437857627869,0.0
12800,1.229658603668213,1.223855972290039,25.86758804321289,1.741614818572998,0.04028356447815895,22.61566162109375,0.6050781011581421,0.0
13312,1.3256736993789673,1.3198435306549072,28.627456665039062,2.0754106044769287,0.039332423359155655,19.762042999267578,0.6148437261581421,0.0
13824,1.2453042268753052,1.239732027053833,28.364208221435547,1.0247677564620972,0.01451709121465683,18.865663528442383,0.619140625,0.0
14336,1.1464781761169434,1.1411000490188599,26.50338363647461,1.614363431930542,0.02002483606338501,18.451004028320312,0.612500011920929,0.0
14848,1.222549319267273,1.2170990705490112,27.159696578979492,1.9036798477172852,0.02020096965134144,18.129253387451172,0.6050781607627869,0.0
15360,1.231092095375061,1.2256581783294678,30.153833389282227,1.861617922782898,0.017831265926361084,15.038698196411133,0.6265625357627869,0.0
15872,1.1833138465881348,1.1779581308364868,28.68646812438965,0.9363425970077515,0.008449993096292019,16.76191520690918,0.6375000476837158,0.0
16384,1.1155526638031006,1.1107934713363647,26.462329864501953,1.3832666873931885,0.013665953651070595,13.367172241210938,0.6148437857627869,0.0
16896,1.2941440343856812,1.288751244544983,31.149478912353516,1.5573437213897705,0.016127124428749084,13.991822242736816,0.643750011920929,0.0
17408,1.2255072593688965,1.220457673072815,30.0424747467041,1.6120713949203491,0.025487948209047318,12.061321258544922,0.622265636920929,0.0
17920,1.2068759202957153,1.2014905214309692,30.903051376342773,1.202754259109497,0.008249469101428986,14.537115097045898,0.638671875,0.0
18432,1.2455806732177734,1.2404428720474243,31.453357696533203,1.948340892791748,0.0077125695534050465,11.096319198608398,0.6238281726837158,0.0
18944,1.1825200319290161,1.1778252124786377,29.32840347290039,1.459848403930664,0.005760970059782267,9.875150680541992,0.629687488079071,0.0
19456,1.1792125701904297,1.1746803522109985,29.490772247314453,1.2646548748016357,0.006932203657925129,8.497987747192383,0.6304687261581421,0.0
19968,1.225404977798462,1.2204877138137817,31.335460662841797,2.0865111351013184,0.005653084255754948,9.168054580688477,0.631640613079071,0.0
20480,1.2285311222076416,1.2239607572555542,30.978214263916016,1.2106564044952393,0.00586619321256876,7.3953728675842285,0.6242188215255737,0.0
20992,1.1785885095596313,1.1741598844528198,28.82594108581543,1.4975543022155762,0.004668290726840496,8.03402042388916,0.6226562261581421,0.0
21504,1.245693564414978,1.240781307220459,32.73705291748047,1.4269636869430542,0.005590488202869892,8.382253646850586,0.610156238079071,0.0
22016,1.2016141414642334,1.197121262550354,30.121068954467773,1.4259170293807983,0.0038285949267446995,7.36833381652832,0.6363281011581421,0.0
22528,1.124971866607666,1.121167778968811,27.300647735595703,1.5988776683807373,0.004703804384917021,4.0482072830200195,0.6390625238418579,0.0
23040,1.2327090501785278,1.2281770706176758,30.924091339111328,2.3318867683410645,0.0076866960152983665,5.995059013366699,0.6246094107627869,0.0
23552,1.182089924812317,1.1779277324676514,29.39035415649414,1.8844330310821533,0.004481724463403225,4.775511741638184,0.6273437738418579,0.0
24064,1.1855361461639404,1.1814005374908447,29.587862014770508,1.8160510063171387,0.0037336640525609255,4.417579650878906,0.619921863079071,0.0
24576,1.1854890584945679,1.1813753843307495,28.83194351196289,1.740912675857544,0.008270084857940674,5.053439617156982,0.64453125,0.0
25088,1.1837244033813477,1.179762601852417,29.36803436279297,1.1352543830871582,0.004913497716188431,3.8101415634155273,0.628125011920929,0.0
25600,1.2260674238204956,1.2218592166900635,30.798419952392578,1.6564311981201172,0.004123474005609751,3.9937596321105957,0.6304687261581421,0.0
26112,1.1985291242599487,1.194446086883545,29.99493408203125,1.7942473888397217,0.004247984848916531,3.575714111328125,0.6402343511581421,0.0
26624,1.2001838684082031,1.196169137954712,29.419038772583008,1.7968387603759766,0.005183922126889229,3.555906295776367,0.6199219226837158,0.0
27136,1.1685140132904053,1.1647777557373047,27.9545955657959,1.388736605644226,0.003474096767604351,3.018615484237671,0.642578125,0.0
27648,1.2895581722259521,1.2854955196380615,31.519332885742188,1.2236275672912598,0.004566438961774111,2.445117950439453,0.629687488079071,0.0
28160,1.1886627674102783,1.18491530418396,27.260250091552734,1.9436616897583008,0.005656271241605282,3.253089666366577,0.641796886920929,0.0
28672,1.237641453742981,1.2336173057556152,30.535219192504883,1.470462679862976,0.004581973887979984,2.8488192558288574,0.6214843988418579,0.0
29184,1.2090986967086792,1.2054951190948486,27.80098533630371,1.5367082357406616,0.003788699395954609,1.874192237854004,0.6292968988418579,0.0
29696,1.2465171813964844,1.2426440715789795,28.99038314819336,2.018697500228882,0.006448143627494574,2.5345840454101562,0.627734363079071,0.0
30208,1.2427889108657837,1.2389042377471924,29.454269409179688,1.738419771194458,0.004042284097522497,2.4545416831970215,0.626953125,0.0
30720,1.1898733377456665,1.1859923601150513,27.50360107421875,1.4223854541778564,0.0046564070507884026,4.688723564147949,0.6207031607627869,0.0
31232,1.2133904695510864,1.2096489667892456,27.591876983642578,1.456231951713562,0.0041328249499201775,3.3580470085144043,0.628125011920929,0.0
31744,1.2057846784591675,1.2021358013153076,26.734100341796875,1.4090654850006104,0.004900702275335789,3.460577964782715,0.6312500238418579,0.0
32256,1.2434889078140259,1.2396966218948364,28.83721351623535,1.2101037502288818,0.005267228931188583,2.7977521419525146,0.62890625,0.0
32768,1.1682730913162231,1.1648170948028564,25.306312561035156,1.601801872253418,0.0060963258147239685,3.023693323135376,0.6343749761581421,0.0
33280,1.2101970911026,1.206742286682129,26.942665100097656,1.397621750831604,0.005708853714168072,1.5807826519012451,0.623046875,0.0
33792,1.2425802946090698,1.2389557361602783,27.912717819213867,1.6319825649261475,0.006652867887169123,1.8461451530456543,0.6136718988418579,0.0
34304,1.1387369632720947,1.1354459524154663,26.05765151977539,0.602577805519104,0.0018489807844161987,1.846473217010498,0.6277344226837158,0.0
34816,1.1847642660140991,1.1812622547149658,26.41410255432129,2.1088194847106934,0.006330523639917374,1.8071117401123047,0.630859375,0.0
35328,1.2093925476074219,1.2058135271072388,26.704200744628906,1.7223799228668213,0.005703220143914223,2.5709240436553955,0.6410156488418579,0.0
35840,1.2122124433517456,1.2085137367248535,28.581586837768555,1.4324833154678345,0.003972083330154419,2.0223073959350586,0.63671875,0.0
36352,1.2269483804702759,1.2233566045761108,26.669281005859375,1.7947468757629395,0.006295464932918549,2.643782615661621,0.6328125,0.0
36864,1.2109750509262085,1.2074720859527588,27.329147338867188,1.4733607769012451,0.0036471558269113302,1.5386452674865723,0.6351562738418579,0.0
37376,1.259887456893921,1.2562940120697021,26.93011474609375,1.9160020351409912,0.007961583323776722,2.27425217628479,0.62890625,0.0
37888,1.2230675220489502,1.2194448709487915,27.23656463623047,1.459029197692871,0.006202229298651218,2.6797842979431152,0.6171875,0.0
38400,1.1939524412155151,1.190675973892212,24.652671813964844,1.661598801612854,0.007255334407091141,2.061267852783203,0.6328125,0.0
38912,1.1267967224121094,1.1235530376434326,23.978229522705078,1.3165555000305176,0.004393133334815502,2.7988967895507812,0.6265625357627869,0.0
39424,1.2026922702789307,1.1995277404785156,24.796239852905273,1.1377692222595215,0.004693170078098774,1.4746882915496826,0.6246094107627869,0.0
39936,1.2039721012115479,1.2006275653839111,25.78569984436035,1.5649656057357788,0.004539101384580135,1.6168286800384521,0.6453125476837158,0.0
40448,1.1647908687591553,1.1606996059417725,24.50174331665039,1.8047293424606323,0.006444261875003576,2.7062501907348633,0.6328125,0.0
40960,1.2109265327453613,1.2067654132843018,25.295808792114258,1.7303619384765625,0.005753017961978912,2.4829587936401367,0.6351562738418579,0.0
41472,1.1932730674743652,1.1893644332885742,24.846397399902344,1.6311523914337158,0.004869142547249794,1.2417601346969604,0.6277344226837158,0.0
41984,1.2224292755126953,1.2182722091674805,24.957176208496094,1.8432631492614746,0.005555547308176756,2.6796445846557617,0.626953125,0.0
42496,1.2466768026351929,1.2427160739898682,24.550952911376953,1.9238475561141968,0.006126244552433491,1.6119213104248047,0.625,0.0
43008,1.2356141805648804,1.231635570526123,24.36691665649414,1.4437503814697266,0.004000694490969181,2.4058187007904053,0.6253906488418579,0.0
43520,1.2118511199951172,1.2079395055770874,23.888534545898438,1.1193183660507202,0.006212933920323849,2.730832099914551,0.633984386920929,0.0
44032,1.1776496171951294,1.173822045326233,22.682079315185547,1.483729362487793,0.0061719343066215515,2.9772725105285645,0.6304687261581421,0.0
44544,1.2267423868179321,1.222846508026123,23.867549896240234,1.8948962688446045,0.006144232116639614,1.864650845527649,0.6414062976837158,0.0
45056,1.2273740768432617,1.2234447002410889,23.052053451538086,2.225407838821411,0.0058456785045564175,2.587832450866699,0.62890625,0.0
45568,1.1477352380752563,1.143918752670288,22.26898193359375,1.82322096824646,0.005355686414986849,2.9720473289489746,0.6226562261581421,0.0
46080,1.2513374090194702,1.2473613023757935,24.396339416503906,1.6155822277069092,0.005175684578716755,2.185189962387085,0.6179687976837158,0.0
46592,1.1953595876693726,1.1915911436080933,23.45330047607422,1.4107317924499512,0.0042796870693564415,1.8614970445632935,0.638671875,0.0
47104,1.223062515258789,1.219156265258789,23.335205078125,2.097771644592285,0.00448287557810545,2.269151210784912,0.6472656726837158,0.0
47616,1.1266062259674072,1.1232316493988037,20.89126205444336,1.5078357458114624,0.0019218793604522943,1.535225510597229,0.6246093511581421,0.0
48128,1.207253336906433,1.2034932374954224,23.233888626098633,1.2820309400558472,0.004217750858515501,2.1504716873168945,0.6187499761581421,0.0
48640,1.185340166091919,1.1816742420196533,22.697656631469727,1.3932695388793945,0.004792267456650734,1.9063559770584106,0.6242187023162842,0.0
49152,1.1936790943145752,1.1901309490203857,21.928224563598633,1.7750647068023682,0.007298910990357399,1.4556989669799805,0.62890625,0.0
49664,1.225733757019043,1.2219297885894775,23.503162384033203,1.4504773616790771,0.003604743629693985,2.0247483253479004,0.6296875476837158,0.0
50176,1.2469313144683838,1.2430553436279297,24.617889404296875,1.2193489074707031,0.004837697837501764,1.6497673988342285,0.6332031488418579,0.0
50688,1.2271790504455566,1.2235101461410522,22.864349365234375,1.2484734058380127,0.005744157824665308,1.9049315452575684,0.6351562738418579,0.0
51200,1.173111081123352,1.169561743736267,21.737245559692383,1.474553108215332,0.003984366077929735,1.959444522857666,0.6210938096046448,0.0
51712,1.1671924591064453,1.1638543605804443,20.9220027923584,1.318019151687622,0.004969628993421793,1.4316164255142212,0.6410156488418579,0.0
52224,1.196193814277649,1.1925857067108154,22.295385360717773,1.450838565826416,0.005867025814950466,1.8402215242385864,0.6476562023162842,0.0
52736,1.1842947006225586,1.180739164352417,22.34197425842285,1.4209914207458496,0.0043840049766004086,1.4519145488739014,0.640625,0.0
53248,1.1718944311141968,1.1684919595718384,21.05907440185547,1.2637947797775269,0.003746014554053545,1.807045578956604,0.6273437738418579,0.0
53760,1.2411123514175415,1.237430453300476,22.138816833496094,1.7841993570327759,0.006394333206117153,2.186086416244507,0.6265624761581421,0.0
54272,1.2630306482315063,1.2593920230865479,23.04050064086914,1.1156193017959595,0.004681278020143509,1.6482187509536743,0.61328125,0.0
54784,1.1489555835723877,1.1455165147781372,19.611064910888672,2.14546537399292,0.00692672748118639,2.630382776260376,0.650390625,0.0
55296,1.1553949117660522,1.1521004438400269,20.086856842041016,1.4611690044403076,0.006699066609144211,1.8129220008850098,0.6253906488418579,0.0
55808,1.168343186378479,1.1649153232574463,20.836116790771484,2.0544610023498535,0.005414720159024,1.417991280555725,0.6328125,0.0
56320,1.272230625152588,1.268580675125122,22.320266723632812,1.6636914014816284,0.005531816277652979,1.8999602794647217,0.6394531726837158,0.0
56832,1.166069507598877,1.1626787185668945,20.530344009399414,1.5666159391403198,0.004179038107395172,1.9491223096847534,0.630078136920929,0.0
57344,1.1949487924575806,1.1915748119354248,21.095623016357422,1.4827756881713867,0.0038889378774911165,1.349449634552002,0.6351562738418579,0.0
57856,1.2381781339645386,1.2346559762954712,21.980823516845703,1.227339506149292,0.005251084454357624,1.7689638137817383,0.6242188215255737,0.0
58368,1.2996565103530884,1.2960374355316162,21.975990295410156,1.5136075019836426,0.006316132843494415,2.1742305755615234,0.6324219107627869,0.0
58880,1.1980018615722656,1.1944191455841064,20.79244613647461,1.4498176574707031,0.004744550213217735,3.1644582748413086,0.6335937976837158,0.0
59392,1.2106369733810425,1.2070459127426147,21.56300926208496,1.7007546424865723,0.004353810101747513,2.202592134475708,0.62890625,0.0
59904,1.2362918853759766,1.2329407930374146,20.875064849853516,1.4834203720092773,0.004333721939474344,1.4062421321868896,0.630859375,0.0
