i,loss,similarity
0,3.054804563522339,0.07100000232458115
10,3.013814687728882,0.08475000411272049
20,2.9603307247161865,0.09800001233816147
30,2.89097261428833,0.10000000149011612
40,2.7864794731140137,0.12700000405311584
50,2.63635516166687,0.4402500092983246
60,2.4092249870300293,0.45124998688697815
70,2.28481388092041,0.4819999635219574
80,2.168321132659912,0.5337499380111694
90,2.148970365524292,0.5905000567436218
100,2.0920302867889404,0.5880000591278076
110,2.060412883758545,0.578000009059906
120,2.064601421356201,0.562749981880188
130,2.0153205394744873,0.5872499942779541
140,2.009291887283325,0.5830000042915344
150,2.0209546089172363,0.6060000061988831
160,1.9758726358413696,0.5807499885559082
170,1.9852170944213867,0.5820000171661377
180,1.9082739353179932,0.5785000324249268
190,1.9162734746932983,0.5855000019073486
200,1.9095275402069092,0.5837500095367432
210,2.037419557571411,0.5934999585151672
220,1.9278926849365234,0.5862500071525574
230,1.8633224964141846,0.5899999737739563
240,1.7981786727905273,0.5834999680519104
250,1.921704888343811,0.5852500200271606
260,1.8480037450790405,0.5862500667572021
270,1.8534486293792725,0.578499972820282
280,1.8625602722167969,0.5829999446868896
290,1.8403117656707764,0.5870000123977661
300,1.7792755365371704,0.5950000286102295
310,1.8356364965438843,0.5767500400543213
320,1.8728564977645874,0.5747500061988831
330,1.8630039691925049,0.5955000519752502
340,1.7961543798446655,0.5827500224113464
350,1.805464506149292,0.5767499804496765
360,1.8275268077850342,0.5867499709129333
370,1.7419302463531494,0.5755000710487366
380,1.7959569692611694,0.5789999961853027
390,1.7768867015838623,0.590499997138977
400,1.6945232152938843,0.5642499923706055
410,1.688744306564331,0.5709999799728394
420,1.6733583211898804,0.5789999961853027
430,1.7113059759140015,0.5792499780654907
440,1.6899296045303345,0.57874995470047
450,1.75895094871521,0.5487499833106995
460,1.6770734786987305,0.5732499957084656
470,1.7237812280654907,0.5690000057220459
480,1.706599473953247,0.5519999861717224
490,1.7248551845550537,0.5557500123977661
500,1.65044367313385,0.5665000081062317
510,1.619193434715271,0.5552499890327454
520,1.562056303024292,0.5432500243186951
530,1.7047103643417358,0.5432499647140503
540,1.700237512588501,0.5527499914169312
550,1.6607261896133423,0.5392500162124634
560,1.6989362239837646,0.5460000038146973
