i,loss,similarity
0,88.86480712890625,0.3867499828338623
10,87.40596008300781,0.37849998474121094
20,84.96954345703125,0.41474997997283936
30,83.52408599853516,0.41324999928474426
40,80.15802764892578,0.42475003004074097
50,74.23889923095703,0.44349998235702515
60,68.29542541503906,0.4712499976158142
70,61.746429443359375,0.5232500433921814
80,56.95679473876953,0.5740000009536743
90,57.2039909362793,0.5852499604225159
100,55.85783386230469,0.5862500071525574
110,55.81810760498047,0.5929999947547913
120,54.12395477294922,0.5740000605583191
130,55.3998908996582,0.5814999938011169
140,54.8812370300293,0.6000000238418579
150,50.256744384765625,0.5987500548362732
160,52.77242660522461,0.5835000276565552
170,56.870452880859375,0.6079999804496765
180,52.589088439941406,0.6102499961853027
190,53.371849060058594,0.5837500095367432
200,54.97818374633789,0.5742499828338623
210,52.435523986816406,0.5612499713897705
220,49.733943939208984,0.5795000195503235
230,52.368927001953125,0.5772500038146973
240,50.234100341796875,0.5737500190734863
250,50.05924606323242,0.5877499580383301
260,52.08278274536133,0.5889999866485596
270,51.58822250366211,0.5737500190734863
280,49.834407806396484,0.578999936580658
290,49.67755889892578,0.5687500238418579
300,49.82896041870117,0.5712500214576721
310,49.195133209228516,0.5725000500679016
320,47.8104248046875,0.5672500133514404
330,50.73104476928711,0.5665000081062317
340,49.87175750732422,0.5517500042915344
350,49.38328170776367,0.5770000219345093
360,52.279510498046875,0.565250039100647
370,48.69071960449219,0.531749963760376
380,48.48487854003906,0.5385000109672546
390,48.06180953979492,0.5255000591278076
400,48.041507720947266,0.5235000252723694
410,48.009742736816406,0.5257499814033508
420,49.16850280761719,0.5012500286102295
430,45.81997299194336,0.5295000076293945
440,48.53700637817383,0.5220000147819519
450,49.78315734863281,0.5404999256134033
460,49.220157623291016,0.5209999680519104
470,46.95310592651367,0.515999972820282
480,49.14215850830078,0.5077500343322754
490,48.1247673034668,0.4909999370574951
500,47.22737121582031,0.49900001287460327
510,48.48453903198242,0.49150002002716064
520,45.92696762084961,0.4834999740123749
530,47.78256607055664,0.5010000467300415
540,48.555023193359375,0.4752500057220459
550,49.176513671875,0.4855000376701355
560,48.456180572509766,0.4729999899864197
570,45.1443977355957,0.4749999940395355
580,45.6583137512207,0.4762499928474426
590,46.90044403076172,0.4567500352859497
600,47.47023010253906,0.45899999141693115
610,47.6781120300293,0.4625000059604645
620,44.071224212646484,0.4547499716281891
630,44.4468879699707,0.4684999883174896
