i,time,loss,ce,kl,logp,qed,sas,accuracy,prec
1925,707.8426125049591,                        0.26006683707237244,0.02576032280921936,0.12283938378095627,                        0.14082121849060059,0.001596112851984799,0.3315059244632721,                        0.9828124642372131,0.65625
1950,716.8451945781708,                        0.17024511098861694,0.035319894552230835,0.12444247305393219,                        0.059963151812553406,0.0012602225178852677,0.0774211660027504,                        0.9964843988418579,0.875
1975,725.8981351852417,                        0.18106934428215027,0.026322761550545692,0.12527123093605042,                        0.034968964755535126,0.000863295397721231,0.16681158542633057,                        0.9937499165534973,0.859375
2000,734.9015290737152,                        0.18586081266403198,0.02642149291932583,0.12465156614780426,                        0.0721084401011467,0.0018258059863001108,0.14590123295783997,                        0.98828125,0.8125
2025,743.9662396907806,                        0.16192689538002014,0.020914645865559578,0.12478341162204742,                        0.07987011969089508,0.0016400020103901625,0.07657219469547272,                        0.989062488079071,0.765625
2050,753.0285725593567,                        0.15726780891418457,0.01831594854593277,0.1224777027964592,                        0.08091942965984344,0.0009084532503038645,0.0751507356762886,                        0.9894531965255737,0.734375
2075,762.0952785015106,                        0.161732017993927,0.025954078882932663,0.12322845309972763,                        0.05578892305493355,0.001024278113618493,0.08770880848169327,                        0.987109363079071,0.75
2100,771.096001625061,                        0.2721998393535614,0.022860443219542503,0.12586051225662231,                        0.25581666827201843,0.0012203329242765903,0.2594429552555084,                        0.9906249642372131,0.75
2125,780.198041677475,                        0.3961343765258789,0.02430485561490059,0.12429654598236084,                        0.4770662486553192,0.0014415449695661664,0.4501825273036957,                        0.9914063215255737,0.765625
2150,789.1959414482117,                        0.15052208304405212,0.020677324384450912,0.11998097598552704,                        0.06695303320884705,0.0011548737529665232,0.06475549191236496,                        0.9945312738418579,0.828125
2175,798.2688932418823,                        0.16199590265750885,0.028431817889213562,0.12251226603984833,                        0.06159297004342079,0.0009410916245542467,0.07639887928962708,                        0.9906249046325684,0.765625
