i,time,loss,ce,kl,accuracy,prec
0,2.0121452808380127,0.12616603076457977,0.11842101812362671,0.6497329473495483,0.9825000166893005,0.5799999833106995
100,115.76301121711731,0.04633796215057373,0.03564345836639404,0.8971680998802185,0.9857499599456787,0.6100000143051147
200,237.621808052063,0.04458170384168625,0.033738426864147186,0.9096486568450928,0.9835000038146973,0.6600000262260437
300,359.6404139995575,0.043328724801540375,0.03316166251897812,0.8529207706451416,0.9802499413490295,0.5799999833106995
400,472.3062083721161,0.0529504232108593,0.04289419203996658,0.8436228036880493,0.9839999675750732,0.6000000238418579
500,589.5162436962128,0.06738587468862534,0.057046204805374146,0.8674006462097168,0.9797499775886536,0.5600000023841858
600,698.6422069072723,0.055995821952819824,0.04536648839712143,0.8917006254196167,0.9825000762939453,0.6100000143051147
700,812.45809674263,0.06728184223175049,0.057887934148311615,0.7880599498748779,0.970500111579895,0.46000000834465027
800,920.5621178150177,0.05952830985188484,0.04841621592640877,0.9321998357772827,0.9790000319480896,0.5299999713897705
900,1038.8268628120422,0.04543774202466011,0.03534979745745659,0.8462833166122437,0.9829999804496765,0.5299999713897705
1000,1170.2358548641205,0.06069871038198471,0.049900420010089874,0.9058746099472046,0.9819999933242798,0.5799999833106995
1100,1293.5201439857483,0.06713494658470154,0.05731711909174919,0.8236232995986938,0.9814999103546143,0.6299999952316284
1200,1414.5736644268036,0.05880396068096161,0.04851721599698067,0.8629608750343323,0.9784998893737793,0.5699999928474426
1300,1526.7669835090637,0.06097405031323433,0.05055234953761101,0.8742823600769043,0.9872499704360962,0.6600000262260437
1400,1644.8634600639343,0.07752083986997604,0.06703253090381622,0.8798698782920837,0.9797499179840088,0.550000011920929
1500,1755.9868154525757,0.054919276386499405,0.04491378366947174,0.8393664360046387,0.9760000705718994,0.6000000238418579
1600,1885.208106994629,0.06688320636749268,0.05467557907104492,1.0241044759750366,0.9812499284744263,0.6100000143051147
1700,2009.645780324936,0.07522937655448914,0.06442467123270035,0.9064128398895264,0.9825000166893005,0.6499999761581421
1800,2128.9027671813965,0.07726685702800751,0.06681343168020248,0.8769434690475464,0.9807499647140503,0.5699999928474426
1900,2250.16131234169,0.05558009445667267,0.04498734325170517,0.8886317610740662,0.9839999675750732,0.6000000238418579
2000,2369.099913597107,0.07596824318170547,0.06571470201015472,0.8601752519607544,0.9787499904632568,0.49000000953674316
2100,2483.52588391304,0.05698273703455925,0.046348437666893005,0.8921172618865967,0.9819999933242798,0.6100000143051147
2200,2597.6606340408325,0.0598313994705677,0.048754531890153885,0.9292446374893188,0.9785000085830688,0.6000000238418579
2300,2730.7577731609344,0.06023475527763367,0.04981210455298424,0.8743619918823242,0.9817500114440918,0.550000011920929
2400,2862.037322282791,0.0527903214097023,0.042485784739255905,0.8644535541534424,0.9830000400543213,0.6000000238418579
2500,2986.600690841675,0.062019702047109604,0.051849521696567535,0.8531822562217712,0.9825000762939453,0.6800000071525574
2600,3108.658513069153,0.05150231346487999,0.040401555597782135,0.9312487244606018,0.9835000038146973,0.6200000047683716
2700,3231.9633684158325,0.05367257446050644,0.04345029592514038,0.8575525879859924,0.9807499647140503,0.5899999737739563
2800,3370.332540512085,0.07329171895980835,0.06227998062968254,0.923781156539917,0.9795000553131104,0.5799999833106995
2900,3507.92533659935,0.04310984164476395,0.03284982964396477,0.8607182502746582,0.9797499775886536,0.550000011920929
3000,3640.0537452697754,0.05652453750371933,0.046651341021060944,0.8282680511474609,0.9857499599456787,0.6499999761581421
3100,3766.1344199180603,0.03368571400642395,0.023437146097421646,0.859758198261261,0.9769999980926514,0.550000011920929
3200,3891.8600192070007,0.04687508940696716,0.036309756338596344,0.8863316774368286,0.981249988079071,0.5199999809265137
3300,4018.0838775634766,0.08842772245407104,0.0789087787270546,0.7985496520996094,0.9800000190734863,0.5799999833106995
3400,4147.026448726654,0.043487295508384705,0.03371569514274597,0.8197451829910278,0.9807500243186951,0.5400000214576721
3500,4284.943177223206,0.06071823090314865,0.050114862620830536,0.8895226716995239,0.9830000400543213,0.5799999833106995
3600,4413.444886445999,0.04642833024263382,0.03637004643678665,0.8437949419021606,0.986250102519989,0.6700000166893005
3700,4531.705403089523,0.05358164384961128,0.04300205036997795,0.8875280618667603,0.9830000400543213,0.6100000143051147
3800,4655.608483076096,0.0661642998456955,0.055734146386384964,0.8749916553497314,0.9822499752044678,0.5799999833106995
3900,4778.947640419006,0.0518265962600708,0.04188457876443863,0.8340413570404053,0.9817500114440918,0.6299999952316284
4000,4913.166981220245,0.06391900032758713,0.05339419096708298,0.8829320669174194,0.984250009059906,0.6600000262260437
4100,5051.937193393707,0.0974361002445221,0.08591137081384659,0.9668163657188416,0.9822499752044678,0.6000000238418579
4200,5181.319356441498,0.07062504440546036,0.06039733812212944,0.8580080270767212,0.9779998660087585,0.5099999904632568
4300,5314.266453027725,0.035799890756607056,0.025813167914748192,0.837791919708252,0.9817500114440918,0.6100000143051147
4400,5435.162266254425,0.08451937139034271,0.07419051975011826,0.8664934039115906,0.9822499752044678,0.6000000238418579
4500,5587.661808013916,0.09929481148719788,0.08814632147550583,0.9352530837059021,0.981249988079071,0.6100000143051147
4600,5740.679240226746,0.06258846819400787,0.05189623311161995,0.8969777226448059,0.983500063419342,0.6299999952316284
4700,5866.7871034145355,0.03864830359816551,0.027391433715820312,0.9443450570106506,0.9852499961853027,0.6700000166893005
4800,6003.661375999451,0.06439623236656189,0.05365877225995064,0.9007716178894043,0.9807499051094055,0.5600000023841858
4900,6127.029453992844,0.10403023660182953,0.0933455154299736,0.8963474035263062,0.9777499437332153,0.5899999737739563
5000,6282.595552444458,0.06159607321023941,0.05144728347659111,0.8513877987861633,0.9832500219345093,0.5799999833106995
5100,6435.483921289444,0.05717884749174118,0.04689536243677139,0.8626874089241028,0.9884999990463257,0.7200000286102295
5200,6557.609127521515,0.11353809386491776,0.1031716838479042,0.8696437478065491,0.9832500219345093,0.6200000047683716
5300,6679.091312885284,0.05184207856655121,0.040022216737270355,0.9915748238563538,0.982999861240387,0.6700000166893005
