i,time,loss,ce,kl,logp,qed,sas,accuracy,prec

996825,1707714866.7407448,                        0.217479407787323,0.027950966730713844,0.12029203027486801,                        0.16032491624355316,0.00042402721010148525,0.17028242349624634,                        0.9898437261581421,0.8125
996850,1707714873.1943378,                        0.25501781702041626,0.014746774919331074,0.1163368746638298,                        0.20821386575698853,0.0003282979014329612,0.3015190660953522,                        0.9898437857627869,0.78125
996875,1707714879.7183218,                        0.18243953585624695,0.011741073802113533,0.12138097733259201,                        0.1185571476817131,0.0008996836259029806,0.14608559012413025,                        0.9933593273162842,0.84375
996900,1707714886.1722963,                        0.1982620656490326,0.03197754546999931,0.1212988868355751,                        0.09422171115875244,0.0015726358396932483,0.15524016320705414,                        0.9910156726837158,0.8125
996925,1707714892.649064,                        0.15665215253829956,0.0262011531740427,0.120331309735775,                        0.09225562959909439,0.00047359472955577075,0.04127916693687439,                        0.991406261920929,0.765625
996950,1707714899.100353,                        0.2962445318698883,0.07572764903306961,0.1256190687417984,                        0.31432560086250305,0.0011207039933651686,0.105562224984169,                        0.9917968511581421,0.75
996975,1707714905.645692,                        0.28345534205436707,0.011460112407803535,0.12163987010717392,                        0.3052140474319458,0.002726729726418853,0.2946103513240814,                        0.990234375,0.75
997000,1707714912.095584,                        0.27197569608688354,0.026342039927840233,0.12573637068271637,                        0.4403347671031952,0.0013713832013309002,0.0627317875623703,                        0.9910156726837158,0.84375
997025,1707714918.573469,                        0.7519739866256714,0.10351649671792984,0.11862045526504517,                        1.0831935405731201,0.0028049747925251722,0.7789751887321472,                        0.9878906607627869,0.703125
997050,1707714925.0253248,                        0.25325503945350647,0.05712120607495308,0.11992090940475464,                        0.20124557614326477,0.0012853635707870126,0.15144622325897217,                        0.9925781488418579,0.859375
997075,1707714931.5223517,                        0.2732674479484558,0.038347721099853516,0.13224375247955322,                        0.11752939969301224,0.0009680000366643071,0.3339588940143585,                        0.9921874403953552,0.765625
997100,1707714937.973299,                        0.811454176902771,0.017353225499391556,0.12421122193336487,                        1.5753198862075806,0.003955211024731398,0.757199764251709,                        0.994921863079071,0.84375
997125,1707714944.493889,                        0.1339387148618698,0.00976015068590641,0.11741587519645691,                        0.06637930870056152,0.0009411961073055863,0.05306835472583771,                        0.991406261920929,0.78125
997150,1707714950.9456005,                        0.7250159978866577,0.027389269322156906,0.12039241939783096,                        1.3581807613372803,0.006169264204800129,0.6600911021232605,                        0.9941405653953552,0.828125
997175,1707714957.4210083,                        0.587273895740509,0.005365927703678608,0.11875853687524796,                        1.180517315864563,0.00522577203810215,0.4570537209510803,                        0.9910155534744263,0.78125
997200,1707714963.8760016,                        0.33034446835517883,0.05263257026672363,0.12413986772298813,                        0.10478334873914719,0.0032771818805485964,0.507296085357666,                        0.9917967915534973,0.8125
997225,1707714970.4056427,                        0.16019608080387115,0.0131300687789917,0.11453139036893845,                        0.11906803399324417,0.002581117209047079,0.08224241435527802,                        0.990234375,0.765625
997250,1707714976.8572176,                        0.1254308521747589,0.006966257002204657,0.12155070900917053,                        0.03544577583670616,0.0016574847977608442,0.05390194430947304,                        0.99609375,0.859375
997275,1707714983.3301861,                        0.23966968059539795,0.024737747386097908,0.12702181935310364,                        0.08438756316900253,0.0022165989503264427,0.3122811019420624,                        0.9937500357627869,0.8125
997300,1707714989.7844934,                        0.14221681654453278,0.009177380241453648,0.12182481586933136,                        0.06198175996541977,0.0009797258535400033,0.07594124972820282,                        0.9921875596046448,0.8125
997325,1707714996.318395,                        0.17988640069961548,0.051580287516117096,0.1189725250005722,                        0.042742908000946045,0.0011377992341294885,0.08637497574090958,                        0.9929687976837158,0.8125
